src_ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
192.168.1.3,9.398268e-05,0.0026239278,0.003637098,0.0005843831,0.003915238,-0.1837347,-0.15310809,-0.15873872,-0.15141915,0.0036515924,-0.15622115,-0.15705834,-0.16198403,-0.0003833779,0.0047452347,-0.15002301,0.0046420344,-0.15303016,-0.0035131709,-0.13249989,0.0049204486,-0.15937291,9.740706e-05,-0.15118486,0.0022777529,-0.17556487,0.0025502667,-0.004344316,-0.15222268,0.0020401478,-0.15154216,-0.15268447,-0.003918714,-0.15828796,0.0050767814,-0.15644917,-0.0047194744,-0.15960993,0.0032038963,-0.0025764932,-0.004489973,-0.15947483,-0.15646492,-0.16015299,-0.001860203,-0.1510163,0.0002925539,-0.1516031,0.005226115,-0.15469068,0.0008976918,-0.15508898,-0.003348223,-0.0024128081,-0.15904652,-0.0021953746,0.004659667,-0.0029805696,0.0048703994,-0.0010808031,-0.16042945,-0.16497159,0.0014369588,-0.15511836,-0.15878509,0.00043522022,-0.15964298,-0.15964831,-0.0036301496,-0.15891567,-0.1593072,-0.15941243,0.0032280649,-0.15955602,-0.0023556661,-0.1493799,-0.15616162,-0.15872684,-0.0054624015,-0.001801784,-0.15819572,-0.0036627844,-0.0050555924,-0.004268666,0.0038160777,-0.1593416,-0.00422291,-0.15673116,-0.15044889,-0.15207501,-0.15680322,-0.00065382384,-0.0006240985,-0.16412662,0.0049490016,-0.0021858201,-0.1518799,0.003743728,-0.15334025,-0.0049917507,-0.15259875,-0.14938693,-0.15884472,-0.0016576548,-0.0013829116,-0.15974885,0.005096308,-0.16155873,-0.0053793527,0.005581638,-0.15991032,-0.1588947,-0.15762636,-0.15670684,-0.15228648,-0.005034741,-0.0041785063,-0.15981856,-0.0038044974,-0.15514559,0.0025396626,-0.0023932252,-0.15004764,-0.0044685276,0.005480524,-0.0021581089,-0.15069109,-0.15311955
192.168.1.33,9.398268e-05,0.0026239278,0.003637098,0.0005843831,0.003915238,4.7757893,4.787838,4.7819023,4.789791,0.0036515924,4.7843738,4.781819,4.7771196,-0.0003833779,0.0047452347,4.7903266,0.0046420344,4.787233,-0.0035131709,4.7990146,0.0049204486,4.78112,9.740706e-05,4.7896247,0.0022777529,4.772774,0.0025502667,-0.004344316,4.7888374,0.0020401478,4.789795,4.788477,-0.003918714,4.78254,0.0050767814,4.785237,-0.0047194744,4.7811475,0.0032038963,-0.0025764932,-0.004489973,4.779453,4.782783,4.7809644,-0.001860203,4.7898498,0.0002925539,4.789443,0.005226115,4.784739,0.0008976918,4.7857347,-0.003348223,-0.0024128081,4.781774,-0.0021953746,0.004659667,-0.0029805696,0.0048703994,-0.0010808031,4.781039,4.779922,0.0014369588,4.785323,4.7823505,0.00043522022,4.7809134,4.7813973,-0.0036301496,4.782805,4.78149,4.7813845,0.0032280649,4.781502,-0.0023556661,4.791817,4.7832837,4.7822022,-0.0054624015,-0.001801784,4.783091,-0.0036627844,-0.0050555924,-0.004268666,0.0038160777,4.781855,-0.00422291,4.784133,4.791325,4.789423,4.7837224,-0.00065382384,-0.0006240985,4.7806916,0.0049490016,-0.0021858201,4.7891936,0.003743728,4.786153,-0.0049917507,4.7884617,4.792044,4.781684,-0.0016576548,-0.0013829116,4.781613,0.005096308,4.7828593,-0.0053793527,0.005581638,4.780851,4.7817626,4.7836037,4.7836695,4.788676,-0.005034741,-0.0041785063,4.782449,-0.0038044974,4.7855744,0.0025396626,-0.0023932252,4.790942,-0.0044685276,0.005480524,-0.0021581089,4.788783,4.7890654
192.168.1.6,9.398268e-05,0.0026239278,0.003637098,0.0005843831,0.003915238,1.2646749,1.2940968,1.2884762,1.2956805,0.0036515924,1.2909187,1.2894487,1.2819309,-0.0003833779,0.0047452347,1.2973094,0.0046420344,1.293677,-0.0035131709,1.3196843,0.0049204486,1.2875533,9.740706e-05,1.2958959,0.0022777529,1.2684133,0.0025502667,-0.004344316,1.2948654,0.0020401478,1.2954057,1.2945007,-0.003918714,1.2889259,0.0050767814,1.2909104,-0.0047194744,1.2874922,0.0032038963,-0.0025764932,-0.004489973,1.2864531,1.2897544,1.2871728,-0.001860203,1.2960417,0.0002925539,1.2954702,0.005226115,1.2920983,0.0008976918,1.2919698,-0.003348223,-0.0024128081,1.2880652,-0.0021953746,0.004659667,-0.0029805696,0.0048703994,-0.0010808031,1.2872242,1.2819732,0.0014369588,1.2916869,1.2883279,0.00043522022,1.2873411,1.2874253,-0.0036301496,1.2886678,1.288055,1.2877752,0.0032280649,1.2877122,-0.0023556661,1.2979599,1.2900469,1.2883363,-0.0054624015,-0.001801784,1.2888554,-0.0036627844,-0.0050555924,-0.004268666,0.0038160777,1.2879974,-0.00422291,1.2902468,1.2967073,1.2952974,1.2899561,-0.00065382384,-0.0006240985,1.2839823,0.0049490016,-0.0021858201,1.2953095,0.003743728,1.2929534,-0.0049917507,1.2944778,1.2978221,1.2879169,-0.0016576548,-0.0013829116,1.2876699,0.005096308,1.2867755,-0.0053793527,0.005581638,1.2871813,1.288336,1.2894628,1.2901839,1.2947409,-0.005034741,-0.0041785063,1.2872602,-0.0038044974,1.2913688,0.0025396626,-0.0023932252,1.2969894,-0.0044685276,0.005480524,-0.0021581089,1.2962438,1.2945678
192.168.1.50,9.398268e-05,0.0026239278,0.003637098,0.0005843831,0.003915238,0.6022825,0.6304243,0.6247553,0.63213706,0.0036515924,0.6272612,0.6261345,0.6209613,-0.0003833779,0.0047452347,0.6334483,0.0046420344,0.6303628,-0.0035131709,0.6503863,0.0049204486,0.6240724,9.740706e-05,0.6323182,0.0022777529,0.60859543,0.0025502667,-0.004344316,0.631312,0.0020401478,0.63201505,0.6308722,-0.003918714,0.62523186,0.0050767814,0.6271933,-0.0047194744,0.6238885,0.0032038963,-0.0025764932,-0.004489973,0.6236662,0.6267475,0.6234133,-0.001860203,0.63249105,0.0002925539,0.6319297,0.005226115,0.6286064,0.0008976918,0.62841374,-0.003348223,-0.0024128081,0.6244601,-0.0021953746,0.004659667,-0.0029805696,0.0048703994,-0.0010808031,0.6232173,0.6190381,0.0014369588,0.6283074,0.62476206,0.00043522022,0.6238162,0.6238824,-0.0036301496,0.62475514,0.62422156,0.6240982,0.0032280649,0.62399644,-0.0023556661,0.6341999,0.6270782,0.624789,-0.0054624015,-0.001801784,0.6253696,-0.0036627844,-0.0050555924,-0.004268666,0.0038160777,0.6242378,-0.00422291,0.6267665,0.6331831,0.63154536,0.6266315,-0.00065382384,-0.0006240985,0.6200013,0.0049490016,-0.0021858201,0.63166755,0.003743728,0.6299081,-0.0049917507,0.6309348,0.6342089,0.6245878,-0.0016576548,-0.0013829116,0.623859,0.005096308,0.6225346,-0.0053793527,0.005581638,0.6235874,0.62460285,0.62593037,0.6267205,0.63122857,-0.005034741,-0.0041785063,0.623872,-0.0038044974,0.62828624,0.0025396626,-0.0023932252,0.6334728,-0.0044685276,0.005480524,-0.0021581089,0.6326259,0.6306232
192.168.1.10,9.398268e-05,0.0026239278,0.003637098,0.0005843831,0.003915238,1.8007293,1.8163507,1.810412,1.8185326,0.0036515924,1.8130637,1.8117414,1.812212,-0.0003833779,0.0047452347,1.8185812,0.0046420344,1.8167497,-0.0035131709,1.8192443,0.0049204486,1.8101983,9.740706e-05,1.8183982,0.0022777529,1.8091353,0.0025502667,-0.004344316,1.8176045,0.0020401478,1.818882,1.817036,-0.003918714,1.8110414,0.0050767814,1.8133986,-0.0047194744,1.8098978,0.0032038963,-0.0025764932,-0.004489973,1.8105888,1.8132582,1.8092014,-0.001860203,1.8186674,0.0002925539,1.8182492,0.005226115,1.8141563,0.0008976918,1.8145685,-0.003348223,-0.0024128081,1.8104899,-0.0021953746,0.004659667,-0.0029805696,0.0048703994,-0.0010808031,1.8086329,1.8091013,0.0014369588,1.8146707,1.8110614,0.00043522022,1.8098942,1.8101863,-0.0036301496,1.8105409,1.8096526,1.8099082,0.0032280649,1.8098978,-0.0023556661,1.8201023,1.8138719,1.8110137,-0.0054624015,-0.001801784,1.812,-0.0036627844,-0.0050555924,-0.004268666,0.0038160777,1.810091,-0.00422291,1.8131486,1.8199247,1.8175795,1.813237,-0.00065382384,-0.0006240985,1.8074273,0.0049490016,-0.0021858201,1.8177456,0.003743728,1.8165263,-0.0049917507,1.8172476,1.8205874,1.8111111,-0.0016576548,-0.0013829116,1.8096582,0.005096308,1.8089114,-0.0053793527,0.005581638,1.8095952,1.810185,1.812388,1.8128424,1.8175452,-0.005034741,-0.0041785063,1.8113432,-0.0038044974,1.8155379,0.0025396626,-0.0023932252,1.8198566,-0.0044685276,0.005480524,-0.0021581089,1.8178031,1.8166045
192.168.1.5,9.398268e-05,0.0026239278,0.003637098,0.0005843831,0.003915238,-0.7031198,-0.71370727,-0.72009224,-0.7118347,0.0036515924,-0.71785986,-0.72049826,-0.7168101,-0.0003833779,0.0047452347,-0.71261686,0.0046420344,-0.7137468,-0.0035131709,-0.7276239,0.0049204486,-0.720044,9.740706e-05,-0.7119106,0.0022777529,-0.7058185,0.0025502667,-0.004344316,-0.7121371,0.0020401478,-0.7104091,-0.7134224,-0.003918714,-0.71896666,0.0050767814,-0.7158929,-0.0047194744,-0.7203493,0.0032038963,-0.0025764932,-0.004489973,-0.7208788,-0.71843827,-0.7206488,-0.001860203,-0.7116834,0.0002925539,-0.7124249,0.005226115,-0.71762985,0.0008976918,-0.7155496,-0.003348223,-0.0024128081,-0.71962625,-0.0021953746,0.004659667,-0.0029805696,0.0048703994,-0.0010808031,-0.721277,-0.7148785,0.0014369588,-0.7157502,-0.71860754,0.00043522022,-0.7204295,-0.7196261,-0.0036301496,-0.7186687,-0.72063375,-0.7202492,0.0032280649,-0.7200874,-0.0023556661,-0.709869,-0.7172949,-0.71885246,-0.0054624015,-0.001801784,-0.7174809,-0.0036627844,-0.0050555924,-0.004268666,0.0038160777,-0.71955574,-0.00422291,-0.71667624,-0.70981985,-0.71227413,-0.7169395,-0.00065382384,-0.0006240985,-0.7181385,0.0049490016,-0.0021858201,-0.7128192,0.003743728,-0.7146602,-0.0049917507,-0.713014,-0.71022105,-0.71907544,-0.0016576548,-0.0013829116,-0.72038186,0.005096308,-0.7175755,-0.0053793527,0.005581638,-0.7205837,-0.7203007,-0.7172322,-0.7175522,-0.7125563,-0.005034741,-0.0041785063,-0.71666586,-0.0038044974,-0.714089,0.0025396626,-0.0023932252,-0.7099333,-0.0044685276,0.005480524,-0.0021581089,-0.71427304,-0.7121593
192.168.1.23,9.398268e-05,0.0026239278,0.003637098,0.0005843831,0.003915238,0.5270238,0.50379795,0.49713978,0.5061331,0.0036515924,0.49951407,0.4966738,0.5059493,-0.0003833779,0.0047452347,0.50410104,0.0046420344,0.5042087,-0.0035131709,0.47271225,0.0049204486,0.4976544,9.740706e-05,0.50574446,0.0022777529,0.52593166,0.0025502667,-0.004344316,0.5057329,0.0020401478,0.50801814,0.5043154,-0.003918714,0.49842244,0.0050767814,0.501899,-0.0047194744,0.49723092,0.0032038963,-0.0025764932,-0.004489973,0.49758223,0.4996378,0.49672675,-0.001860203,0.5060666,0.0002925539,0.50546455,0.005226115,0.4994823,0.0008976918,0.5021746,-0.003348223,-0.0024128081,0.49797618,-0.0021953746,0.004659667,-0.0029805696,0.0048703994,-0.0010808031,0.4957281,0.5067155,0.0014369588,0.50217843,0.499265,0.00043522022,0.4972166,0.4982493,-0.0036301496,0.4987044,0.49638477,0.49714303,0.0032280649,0.49739015,-0.0023556661,0.5076065,0.5010498,0.49894458,-0.0054624015,-0.001801784,0.5007094,-0.0036627844,-0.0050555924,-0.004268666,0.0038160777,0.49788073,-0.00422291,0.50126976,0.5084986,0.5053444,0.5012172,-0.00065382384,-0.0006240985,0.5008707,0.0049490016,-0.0021858201,0.5048355,0.003743728,0.50351375,-0.0049917507,0.50487167,0.50772923,0.49901184,-0.0016576548,-0.0013829116,0.4970092,0.005096308,0.5004336,-0.0053793527,0.005581638,0.4970008,0.4968701,0.5007912,0.5001378,0.50533426,-0.005034741,-0.0041785063,0.5023528,-0.0038044974,0.504717,0.0025396626,-0.0023932252,0.50801206,-0.0044685276,0.005480524,-0.0021581089,0.50248927,0.5054111
192.168.1.44,9.398268e-05,0.0026239278,0.003637098,0.0005843831,0.003915238,-0.09289361,-0.071977265,-0.07775401,-0.07045258,0.0036515924,-0.07542551,-0.07709625,-0.0825245,-0.0003833779,0.0047452347,-0.06919826,0.0046420344,-0.07235353,-0.0035131709,-0.054213136,0.0049204486,-0.07847736,9.740706e-05,-0.07021415,0.0022777529,-0.09137358,0.0025502667,-0.004344316,-0.07105744,0.0020401478,-0.07030989,-0.07169761,-0.003918714,-0.077135436,0.0050767814,-0.074960135,-0.0047194744,-0.078606956,0.0032038963,-0.0025764932,-0.004489973,-0.07960707,-0.07649284,-0.07887574,-0.001860203,-0.07007227,0.0002925539,-0.070756756,0.005226115,-0.07440357,0.0008976918,-0.07406829,-0.003348223,-0.0024128081,-0.07799295,-0.0021953746,0.004659667,-0.0029805696,0.0048703994,-0.0010808031,-0.07897092,-0.081948854,0.0014369588,-0.074357554,-0.07757919,0.00043522022,-0.07873974,-0.0785147,-0.0036301496,-0.077264756,-0.07815662,-0.078324705,0.0032280649,-0.07836132,-0.0023556661,-0.06813732,-0.076022945,-0.077618934,-0.0054624015,-0.001801784,-0.07696353,-0.0036627844,-0.0050555924,-0.004268666,0.0038160777,-0.07798957,-0.00422291,-0.07566361,-0.069235824,-0.07076796,-0.07599068,-0.00065382384,-0.0006240985,-0.08091523,0.0049490016,-0.0021858201,-0.07092661,0.003743728,-0.07315473,-0.0049917507,-0.07161346,-0.06850051,-0.07803048,-0.0016576548,-0.0013829116,-0.078477025,0.005096308,-0.07851325,-0.0053793527,0.005581638,-0.0788903,-0.07789103,-0.07641959,-0.075884655,-0.07127748,-0.005034741,-0.0041785063,-0.07807726,-0.0038044974,-0.07429762,0.0025396626,-0.0023932252,-0.06893339,-0.0044685276,0.005480524,-0.0021581089,-0.07040718,-0.07125394
192.168.1.2,9.398268e-05,0.0026239278,0.003637098,0.0005843831,0.003915238,-0.22892274,-0.24274242,-0.24919072,-0.2407869,0.0036515924,-0.24694622,-0.24969625,-0.24510667,-0.0003833779,0.0047452347,-0.24180721,0.0046420344,-0.24274766,-0.0035131709,-0.26029822,0.0049204486,-0.24907452,9.740706e-05,-0.24093322,0.0022777529,-0.23257871,0.0025502667,-0.004344316,-0.2411136,0.0020401478,-0.23929304,-0.24241203,-0.003918714,-0.24802703,0.0050767814,-0.24483271,-0.0047194744,-0.24938974,0.0032038963,-0.0025764932,-0.004489973,-0.24988523,-0.24746735,-0.24968584,-0.001860203,-0.24068536,0.0002925539,-0.24140093,0.005226115,-0.24682467,0.0008976918,-0.24456254,-0.003348223,-0.0024128081,-0.24865636,-0.0021953746,0.004659667,-0.0029805696,0.0048703994,-0.0010808031,-0.25035894,-0.24310005,0.0014369588,-0.24475342,-0.24757764,0.00043522022,-0.24947096,-0.24860087,-0.0036301496,-0.24767846,-0.24974597,-0.24930242,0.0032280649,-0.2491221,-0.0023556661,-0.23890597,-0.24629459,-0.24784657,-0.0054624015,-0.001801784,-0.24641241,-0.0036627844,-0.0050555924,-0.004268666,0.0038160777,-0.24858613,-0.00422291,-0.24565873,-0.23867801,-0.24125591,-0.24592261,-0.00065382384,-0.0006240985,-0.24674,0.0049490016,-0.0021858201,-0.24182582,0.003743728,-0.24367487,-0.0049917507,-0.2419871,-0.23916996,-0.24804693,-0.0016576548,-0.0013829116,-0.24940209,0.005096308,-0.24629638,-0.0053793527,0.005581638,-0.24961565,-0.24939299,-0.24617988,-0.24659458,-0.24152969,-0.005034741,-0.0041785063,-0.24542248,-0.0038044974,-0.24294683,0.0025396626,-0.0023932252,-0.23891434,-0.0044685276,0.005480524,-0.0021581089,-0.24349332,-0.24111775
192.168.1.13,9.398268e-05,0.0026239278,0.003637098,0.0005843831,0.003915238,-0.4809425,-0.44833347,-0.45388162,-0.44700995,0.0036515924,-0.4515552,-0.4528485,-0.4617867,-0.0003833779,0.0047452347,-0.44492802,0.0046420344,-0.44885504,-0.0035131709,-0.41830954,0.0049204486,-0.45489162,9.740706e-05,-0.4466032,0.0022777529,-0.47797674,0.0025502667,-0.004344316,-0.4476613,0.0020401478,-0.44729218,-0.44811618,-0.003918714,-0.4534347,0.0050767814,-0.45161945,-0.0047194744,-0.4549653,0.0032038963,-0.0025764932,-0.004489973,-0.45617402,-0.45282713,-0.45520335,-0.001860203,-0.44650647,0.0002925539,-0.4472146,0.005226115,-0.45021537,0.0008976918,-0.4505268,-0.003348223,-0.0024128081,-0.4543867,-0.0021953746,0.004659667,-0.0029805696,0.0048703994,-0.0010808031,-0.45510343,-0.46160042,0.0014369588,-0.45086053,-0.45420024,0.00043522022,-0.45511255,-0.4551113,-0.0036301496,-0.45371583,-0.45421326,-0.45460007,0.0032280649,-0.4547191,-0.0023556661,-0.44449908,-0.45258802,-0.45416036,-0.0054624015,-0.001801784,-0.45378566,-0.0036627844,-0.0050555924,-0.004268666,0.0038160777,-0.45438603,-0.00422291,-0.45228788,-0.44610074,-0.4472369,-0.45265573,-0.00065382384,-0.0006240985,-0.4589363,0.0049490016,-0.0021858201,-0.447281,0.003743728,-0.4496286,-0.0049917507,-0.44814008,-0.44498047,-0.45466083,-0.0016576548,-0.0013829116,-0.45478883,0.005096308,-0.45584345,-0.0053793527,0.005581638,-0.455262,-0.45399094,-0.45313087,-0.4522643,-0.44783044,-0.005034741,-0.0041785063,-0.45561618,-0.0038044974,-0.45140475,0.0025396626,-0.0023932252,-0.44556835,-0.0044685276,0.005480524,-0.0021581089,-0.4459923,-0.4478986
