src_ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
192.168.1.26,0.006737872,0.003011615,0.0032118447,0.0049346415,-0.00403574,-0.002431145,-0.004646077,-0.007111904,-0.00088779815,0.0011187065,0.007303375,-0.0055274153,0.0075162444,0.0034183022,-0.00052152574,-0.0024163052,0.0030573616,-0.00067172386,-0.0036229119,0.007436529,-0.004439068,0.0043979064,-0.0062634945,0.0053717187,-0.005613938,0.0008611614,0.00033389684,0.006900333,0.0060703084,-0.0075261593,0.006798219,0.006080998,-0.0027118847,-0.001722524,-0.0010650102,-0.0041915607,-0.004306605,0.00053740945,0.0025424473,0.006948285,0.006792387,-0.0026406515,-0.004237096,0.006384705,-0.006308009,-0.00051044393,0.0013834471,0.0073013706,-0.0012463406,0.0041285465,0.0064391475,0.004427403,0.004574096,-0.0021636337,0.007008531,0.0013716873,-0.0004888559,-0.0039289203,-0.00669838,0.0046896655,-0.0065510646,-0.0037730224,-0.0060793543,0.0026970264,0.0044868467,-0.006635228,-0.0038059046,-0.0039551603,0.004487673,-0.002216869,0.0019518277,-0.005124134,-0.004773698,-0.0037453854,-0.007572336,-0.004659325,0.0026081242,-0.0071911924,0.0024552057,-0.0024551721,-0.0067602564,-0.0004960988,-0.00629491,-0.0012914157,0.005384436,0.00624256,-0.0019371817,-0.0064238384,0.004288447,0.0019369684,0.0018490842,-0.002363488,0.0010816315,-0.0074067544,0.0053241123,0.004265601,0.00681921,-0.0012185276,-0.0070335623,0.007440662,0.00660781,0.0042893346,-0.005293494,0.005762562,0.00066232495,0.0010311455,0.0016432973,-0.0025075898,-0.00021178275,0.0055373134,-0.0058248267,-0.0013568606,-0.00038086902,0.005801849,0.0014736932,0.006456512,0.0068840887,-0.0022791876,-0.006956339,0.0035189912,0.0035143532,0.004901711,-0.005652138,0.0077792825,0.0002334686,-0.0006644968,-0.0026599737,-0.0046763755
192.168.1.33,0.0029650033,-0.0037776455,0.00079284236,-0.0018487973,-0.0006875545,-0.006696798,-0.006737333,0.0030168518,-0.0041782362,-0.0069241254,0.006393615,-0.0005475795,0.0035826545,0.0077811265,0.0045324657,-0.0015112916,-0.0069761733,-0.004522862,0.00033353548,-0.0014275312,0.0060067372,-0.0037299898,0.00029502157,-0.0046552476,-0.0028249593,-0.0037363684,0.0037633264,-0.003025705,-0.0049236994,-0.00066752173,0.00023359992,-0.0033900756,-0.006124125,0.0021702806,-0.000903341,0.0055833813,0.006006796,-0.0074346233,-0.0010990156,-0.000542487,-0.005701582,0.0018216381,0.0050243326,-0.00039083045,-0.0018145749,0.0025147432,-0.0026352694,-0.004605772,0.0039699096,0.006797431,-0.0022810437,0.007748618,0.003038019,0.005139226,0.0017737858,0.0013212021,0.0065373518,0.0052043013,0.0017362805,0.0027016215,-0.005507769,0.005712712,0.007291479,-1.4068559e-05,0.0032139393,-0.0034025451,0.005532248,0.0009047715,0.0009874972,-6.921217e-05,0.0069997525,-0.0045364266,-0.0076068435,0.0027025314,0.0026459796,0.0036067562,-0.0054153483,-0.0036876202,0.0026327297,-0.0052547986,0.0068179443,0.0012709396,0.000871758,-0.0006392477,-0.0052329656,0.0035128314,0.00375822,0.003814186,0.0056960583,-0.0075108977,0.0018901639,-0.004523807,0.00027251616,0.0057266345,0.00034365524,0.0026925858,0.00779632,0.0045322245,-0.00032300781,0.0038162125,-0.0061944965,0.0014688112,-0.0056199003,-0.002757173,0.0011378881,-0.00334741,0.005572699,0.0018883133,-0.0071903355,0.0018409574,0.007674843,0.0065398477,-0.0059581446,0.0019632746,-0.0022552786,0.0010408126,-0.0028541088,-0.007549502,-0.0041521974,0.0025036708,-0.0006454168,0.0059207277,-0.004516083,0.0021947734,0.00613599,0.00030692667,0.0012336429,-0.0025273478
192.168.1.40,-0.0018233256,0.007714344,0.0070474325,-0.0032238448,0.0071483217,0.0043934993,-0.0024867859,-8.745771e-05,0.0029466953,0.0010477211,-0.002018583,-0.007418276,-0.0072992807,0.00475711,-0.003614881,-0.00080622546,0.0011548549,0.0068425834,-0.004466504,0.0071346043,0.004766658,0.0062847873,0.007588175,0.0028965343,-0.0020893877,-0.005045398,0.0020705722,-0.0047011273,-0.0055576377,-0.00192001,0.0055758134,-0.005076032,0.004843617,0.0069984887,-0.0059790974,-0.0009021312,0.0035238946,0.0032273913,0.0020370185,-0.0052838204,0.0056526344,0.0011493033,0.0014930209,-0.0063321963,-0.0057619596,-0.003849023,0.0044252938,0.0049288133,0.00042551104,-0.0010736231,0.005683398,0.0048485342,-0.00057498366,0.00028877053,0.006294856,-2.2266991e-05,-0.0020661466,-0.00070992764,-0.005801445,-0.0019701114,-0.0020057159,0.0006190799,-0.0028544888,-0.0033305958,-0.0007503787,0.0053185374,0.0070366627,-0.0040634423,0.002108478,0.0035776775,0.0012671724,-0.0019787708,0.003012118,0.0006933464,-0.005103687,-0.005499536,-0.0024408838,0.0066740643,0.00457599,-0.0026067765,0.0031637158,0.007205313,0.0015665488,-0.0052391347,-0.0055345716,-0.0027483488,-0.007495799,0.0019889493,0.007674598,0.0009075133,0.006307848,0.005569527,0.002034503,-0.006748448,-0.006062745,-0.0009299237,-0.0042979782,0.0007122839,0.0014456911,0.00046055764,0.0019279672,0.0009133229,-0.007233767,-0.0016073082,0.0072700595,0.0076103853,-0.0028466461,-0.0048116213,0.0032767123,-0.0028851517,0.0059374757,-0.0007632775,-0.004502048,0.0072024968,-0.0062836874,-0.003909328,-0.0017625466,-0.0042423354,0.004844253,0.000537483,0.0015951656,0.00047463458,-0.0027308697,-0.00032702833,-0.0020615058,0.00040025264,-0.00051932596,0.004494328
192.168.1.38,-0.0053504203,0.0045418814,-0.0010453518,0.0058855526,-0.00069186836,-0.002024524,0.004510385,0.002708722,-0.0036988398,0.001832231,0.0037280573,-0.004414846,0.00680832,3.3155084e-05,-0.002931105,-0.001108407,-0.0002715392,0.007402731,0.004611714,0.0014129533,0.007590495,0.004906144,0.002448123,-0.0006428333,0.0016832026,0.0052605476,0.0050281864,0.006381117,-0.00012780726,-0.0054079397,-0.006459673,0.0016470915,0.007410965,0.0020668376,-0.00049151015,0.0005057361,0.0044079693,0.005520195,-0.003532039,-0.001188823,-0.0068694875,0.005765334,-0.006339578,0.0047870036,-0.003322336,0.0027272422,-0.0062647825,-0.0047149416,-0.0016998053,-0.002651291,0.0048222104,-0.0022552665,-0.007511828,0.007045201,0.0064285826,0.0059047677,0.0002669096,-0.007680785,0.00051629543,0.0069875577,-0.00538511,0.001950412,-0.003403184,0.0067148963,-0.003516837,-0.0023763916,-0.0030717645,-0.0047715027,0.0056816395,0.00026467908,-0.00385937,0.006057418,-0.0007219454,-0.00017796457,-0.006824268,0.00055744033,0.0024307119,-0.00684628,0.0032059243,-0.002114906,-0.0033552265,0.0019208835,0.0059062717,-0.00055549387,-0.003980114,0.0009058062,0.0043787817,0.004647606,0.007682954,0.005031678,0.0051593482,-0.005910458,-0.004801132,-0.003061736,0.0014326116,-0.005723688,-0.0004727561,0.0031906562,-0.0040608905,0.0014420804,0.0065384936,-0.001110916,0.0076287976,0.0056615556,0.0011661034,0.0074263923,-0.0018522944,-0.00024778116,-0.0016113603,0.002860792,0.00502376,0.003922319,0.00094206445,0.0033604605,0.004089877,-0.002757662,-0.0034562275,0.00765137,-0.0006460715,-0.0049028397,-0.0013635093,-0.0018194588,0.002665409,0.006902013,0.0011838414,-0.0020245789,0.0019905157,0.0046327366
192.168.1.9,-0.0021207938,-0.0010176161,-0.0065985722,-0.00063275546,-0.0022865776,0.0050475057,0.00073937885,-0.0030499967,-0.0060834615,-0.001349167,-0.003377351,0.0038573258,0.0057110004,-0.0076052826,0.0014186297,-0.0025220579,-0.005190324,0.0014669392,-0.0018989928,-0.004108507,-0.0011286614,0.0018930826,-0.0036296044,0.0019963998,0.007651004,0.003692763,-0.005338312,0.0030319067,-0.0075439047,0.0018014228,0.0017618788,-0.0039017955,-0.0013230518,-0.0015229303,-0.0016234042,-0.0053509483,-0.002778709,-0.0034107687,-0.0019781701,0.007084906,0.003789275,-0.007415957,0.0020010648,0.0019853842,0.004659592,-0.0011690147,0.003248836,0.0068639535,0.0025446108,-0.0017417064,0.002143465,-0.0031950949,0.0057197474,-0.0019459007,0.0041774204,0.0022588288,-0.0018581552,0.007562654,-0.004108846,-0.0055384943,0.0073074345,-0.0032499908,-0.006949311,0.0033953143,-0.004885887,0.0064869756,0.0076436633,0.0038481997,-0.006928374,0.0019112751,-0.0027408088,-0.006091607,-0.00015390757,-0.007656364,0.0046399496,0.004105284,-0.005335356,-0.00013556611,-0.0019251714,-0.0050672945,-0.0063095205,0.006899719,0.0019894838,-0.0038567213,0.002453371,0.006751405,-0.0050243894,0.0015173815,-0.004174714,-0.0007022526,0.0021064756,0.0014271531,-0.002701101,0.0067336047,0.0048532914,-0.0023677852,-0.0045902003,0.005319847,0.0050820997,0.004557641,-0.0069806315,0.0018053493,-0.0022077486,-0.0036182636,0.0008432418,0.0013516713,0.007504766,0.0008355351,0.0075822026,-0.0054206746,0.007229222,0.0046379343,0.006672851,-0.00010018237,0.0026618792,-0.0075710686,0.0014173649,0.00056675356,-0.0033655409,-0.0045247395,-0.0012772419,-0.005286512,-0.0071481,0.006845027,0.0050679743,-0.0047542118,-0.0042828526,-0.006138648
192.168.1.29,0.0029906742,-0.0014641313,0.005623713,-0.0058684815,0.0031833863,-0.002829885,-0.00061505754,-0.004999431,-0.0077520898,0.0040790113,-0.00035589188,-0.0016739657,0.0019174563,-0.004760945,-0.0020196857,-0.0063277176,-0.0071629854,0.0030943435,0.002298398,0.0077870265,0.006771297,0.0011540689,-0.0066233864,-0.004564558,-0.007195959,0.0017769206,-0.007031059,0.00722979,0.0007484313,-0.005235851,0.0072431313,-0.0011233771,0.00463992,-0.0036671488,0.001980179,-0.005463844,-0.0002469141,0.002143778,0.0066748885,0.0021355022,-0.006781037,-0.007597829,-0.0032270085,0.006215402,-0.0055151666,0.0052114045,-0.006305984,-0.00052603055,-0.003112509,0.0015265057,0.0039808545,0.000788616,-0.005031435,-0.0009528063,-0.0042363834,-0.005211032,-0.0031204326,0.0057750735,0.0012111552,0.0010050302,-0.0026639057,-0.007292364,-0.0037919106,-0.0069913473,0.002383343,0.0020605586,0.0017777616,-0.0016673859,0.003559988,0.001853724,0.0066483617,-0.0037281215,0.004655022,-0.0034725536,0.004643956,-0.0064504137,0.005084375,0.0050988533,-0.0007633222,-0.0062227966,0.0050909733,0.0033517126,-0.006891924,-0.0059444224,0.004318853,-0.004295081,0.006928554,-0.0069820965,-0.0065147113,-0.0038202507,-0.007206884,-0.0077333767,0.0004700888,-0.0072105294,-0.0031957123,0.0026990445,-0.005082013,0.0012612818,0.007518789,-0.0044493256,-0.0016047126,0.0019504931,-0.007541105,0.0058151856,0.0051744124,0.0011116788,0.0054827332,0.001743502,-0.0065738037,0.0017843563,0.0038660867,0.0010398999,-0.003277665,0.0021646563,0.006909187,0.0044398336,-0.00086274836,0.0034147957,-0.0060168356,0.00395588,-0.0025686184,0.0070935627,0.007090183,0.0061975084,0.0050327806,-0.0005156528,-0.0011448236,-0.0014952756
192.168.1.8,0.00649976,0.006785609,0.0028202347,0.00021037366,0.0043149134,0.0010703355,0.001558274,-0.0017157253,0.0064936318,0.0043799384,-0.004661655,-0.00045110285,-0.006534989,-0.0069757486,0.0011933073,-0.0061826203,-0.0020414283,-0.0037554586,-0.0029212693,0.0077598263,0.0018067295,-0.0038999273,0.003435867,-0.002695879,-0.006133385,0.006333149,-0.0015799962,-0.001146026,-0.005760664,-0.003614775,0.0027362881,0.0014737993,0.003426427,-0.0013294509,0.005437607,-0.007379655,-0.0012709601,-0.005752406,-0.0012198649,-0.000104791485,0.0021615196,0.0020798258,0.0023456477,0.0017500548,0.0055193678,0.0036502685,0.0015934957,0.0009317482,0.007108501,-0.006742806,-0.0058642467,-0.0045217015,0.0046541216,0.0039296066,-0.0028610453,-0.0023896154,0.0057440056,0.006444566,-0.0022907918,0.0015116734,0.0038885511,-0.002128902,-0.0025949255,-0.0038280655,0.0013095457,0.00052736327,0.004608346,-0.0063674217,0.0018228143,-0.0056993673,-0.0075361794,-0.0003232006,-0.0070118383,-0.0022534756,-0.004545617,-0.005118614,0.0009891689,-0.0024788082,0.0071373424,-0.0062639853,-0.00679042,0.003068489,0.0014812294,0.0013730573,-0.0037784837,0.004929061,0.0077285357,0.0028674584,-0.007720379,-0.0010400433,0.0068542864,0.0059382087,0.0011295341,0.0039743567,-0.0031090872,-0.00038918387,0.005303301,0.0011818493,0.004343936,0.0034335349,-0.004740931,0.004290168,-0.0048236204,-0.0049017146,-0.0057423906,0.0016972888,-0.0054108677,-0.0052503124,-0.0039661117,0.0071236882,0.0035971496,0.006375051,-0.0036195004,0.0032236977,-0.0069587855,-0.0073924167,-0.0042085703,0.0048171626,-0.0014438508,-0.005129626,-0.0012077326,-0.0007955022,0.0031159082,-0.0012956476,0.00628638,-0.0070048496,0.0046595596,0.0016362043
192.168.1.37,0.0010252232,0.0050540986,0.004152924,-0.0054704593,0.0032078512,0.007332866,0.004184491,0.0058979588,-0.00034653116,0.002739871,-0.00016593095,-0.0057903305,-0.0032297354,0.002115828,-0.00682634,-0.0014746059,0.00578213,0.00052398443,-0.0032350076,0.006370768,0.00746415,0.0022491207,-0.0029807072,-0.0060173366,-0.0032249643,-0.005217229,0.001976421,-0.0031318655,0.0007198183,-0.005691965,0.003953402,0.0031173686,-0.0044649253,-0.004871238,-0.0017123073,0.0024316562,-0.007149861,0.005651186,-0.0062672794,-0.0066485293,-0.0035547735,0.0022501703,0.004083853,-0.00025769696,-0.00333351,0.007246836,-0.007384356,-0.0011104178,0.0065605994,-0.003974595,-0.00058740564,0.002750595,-0.0065998575,-0.0071965028,0.0025523007,0.004476715,-0.0049652513,0.0022616778,0.0022988068,-0.003853526,-0.0055171307,0.002689832,-0.00211907,2.086442e-05,-0.0048675947,0.0062815472,0.00729144,0.0051204646,-0.0014702594,0.0039321557,0.0019969596,0.004543095,0.0007848758,0.0045843944,0.0013595214,0.004282212,-0.0063201403,0.003841998,-0.004943966,0.00080123544,0.0051124943,0.0020596534,0.002506758,0.0051943343,-0.00495644,-0.004440463,-0.0041960385,0.006636245,-0.002296728,0.0065602288,-0.0030863807,0.0016624797,0.00085706264,-0.0060499916,0.003188964,-0.0021620113,0.0009882469,-0.0002317382,-0.0005389415,0.0014551226,0.0012749955,0.0038359035,-0.0053467834,0.0062945047,-0.0063269753,-0.0067716204,0.0070145223,0.0008748332,-0.00031873304,-0.004280042,-0.005848649,0.0052743033,-0.00249012,0.0062009776,-0.0052393246,0.0072314916,-0.007321491,0.006079863,-0.0035402095,-0.006912604,-0.0064619547,-0.004387507,0.007050507,-0.0054001603,-0.006702373,-0.0014831433,0.007389118,-0.002040945
192.168.1.47,-0.002030002,-0.003370965,0.0053382767,0.0027057724,-0.0009548776,0.0046632066,-0.0014460431,0.0074674143,0.00691167,-0.0070730904,-0.0033347737,-0.00076749455,-0.0011797557,-0.0028000288,0.0035977578,0.006291274,-0.004125734,-0.0070511093,0.0045445394,0.005827586,0.0055734534,-0.007236018,0.003292881,-0.006179643,0.0063297143,-0.0040420154,-0.0034946734,0.00053021684,0.0019257301,-0.0030396143,-0.0025637941,0.004323072,-0.0016302876,-0.007249441,-0.0055835675,0.0006147623,-0.0077232616,0.00093680155,0.0023429198,0.0018509114,-0.005453065,-0.0033639204,0.0005240422,-0.00060446654,0.0035644714,0.00047240034,0.0013844213,-0.0063743265,-0.0035447655,-0.000435262,-0.00058608595,-0.0013245586,-0.0032760939,-0.0064446293,0.003006285,-0.0009699119,0.0044423966,0.0013198266,-0.0036404217,-0.0053235665,0.0054698447,-0.005103998,-0.0019613625,-0.004490776,-0.004912691,0.0030639227,0.0037832074,-0.0036986824,-0.0032810615,-1.5802681e-05,0.0028401222,-0.0077028144,-8.750707e-05,-0.0019135252,-0.004331949,-0.0023021875,-0.0053614844,0.003037991,0.005367498,0.005700282,-0.0029736077,0.0037078187,-0.007449056,-0.004032337,0.0037940778,-0.005304491,0.0052979365,-0.0038979026,0.003004877,-0.0067296177,0.0035593174,0.004646534,0.001392033,-0.0077706864,0.0013626218,0.0015928019,-0.0026731072,-0.006199478,-0.0031826664,-0.0065149534,0.005798625,-0.0013382453,0.0015223958,0.004398116,-0.00017730799,-0.001693787,-0.0003765775,0.0036363713,0.007406016,-0.0026594521,-0.0062168622,0.003838268,-0.002730948,-0.003279617,0.0035393704,0.003142286,0.0056200065,0.0077341003,0.0020627948,-0.0013353415,-0.00339708,-0.0067587467,0.00091915857,0.0029313853,0.002179847,0.006353881,-0.00033341814,-0.0078023756
192.168.1.11,-0.0062592067,0.0068521546,0.0036579836,-0.0044353334,0.0038282303,0.001144805,0.007156509,0.0066809272,-0.003931257,-0.0044816434,-0.0065790685,0.0001446316,-0.005666813,-0.0014537331,0.0067859497,-0.0025128135,0.0003609648,-0.0008727815,0.0011996143,-0.0012394236,0.0023979777,0.0044309497,-0.0027170144,0.0021171551,0.0022348184,0.0062215813,0.00055900775,-0.0029604696,0.0020439867,0.00017680973,-0.0033785151,0.00092838705,0.0071207415,-0.0013617435,-0.0008718353,0.0049228333,-0.0041736597,0.0037342925,-0.0048663598,-0.007144222,-0.0039036525,0.002126406,-0.0029971385,-0.0056831585,-0.0025503896,-0.005721541,-0.0002997443,0.0037345877,-0.004473052,-7.1061775e-05,-0.0035042334,-0.0036199214,0.0017414959,0.0076925512,0.0015350748,0.005889563,0.0028121471,0.0045591723,-0.002492207,-0.0020343028,0.004818557,-0.0060698204,-0.0027043894,-0.0013329023,0.0019457499,0.0059958743,-0.006576241,-0.003458662,0.0030497452,2.8954819e-06,-0.0071550068,-0.007619448,-0.00024223235,-0.005841949,0.0034082867,-0.0005877884,0.0039169677,-0.004349973,-0.0063547594,0.0069735283,-0.0048137624,-0.002508483,0.0021988694,-0.006415519,0.006964909,-0.0059692143,0.0042169113,-0.006922748,0.0015532086,-0.0044530965,0.0057479227,0.0071275877,-0.0027939836,0.006010158,-0.0018640393,-0.007804378,-0.0044315076,0.0011077253,0.0052085165,-0.0009234613,-0.0048078,-0.0042174486,0.0041974196,0.003849675,-0.007014335,0.005350816,-0.00012557115,0.003818268,-0.007059153,0.0021987157,-0.0011726748,-0.006054351,-0.004586597,-0.0026931884,-0.006141845,-0.004064236,0.0056222584,0.0054807533,0.0014956491,-0.0004525259,0.0056439564,0.0030420432,0.0010705106,0.0052648922,-0.0026152171,-0.0071075913,-0.0052017197,0.004267213
