,precision,recall,f1-score,support
benign,0.0,0.0,0.0,2.0
censys,0.0,0.0,0.0,1.0
driftnet,0.0,0.0,0.0,1.0
internetcensus,0.14285714285714285,0.25,0.18181818181818182,4.0
intrinsec,0.0,0.0,0.0,2.0
mirai,0.5,0.3333333333333333,0.4,3.0
rapid7,0.0,0.0,0.0,2.0
securitytrails,0.0,0.0,0.0,1.0
unk_bruteforcer,0.0,0.0,0.0,1.0
unk_exploiter,0.0,0.0,0.0,2.0
unk_spammer,0.0,0.0,0.0,1.0
accuracy,0.1,0.1,0.1,0.1
macro avg,0.05844155844155843,0.053030303030303025,0.05289256198347107,20.0
weighted avg,0.10357142857142856,0.1,0.09636363636363637,20.0
